City,Customer type,Gender,Product line,Unit price,Total,payment,,filter,filter by city,filter by customer,filter by gender,filter by product line,filter by payment,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Health and beauty,74.69,548.9715,Ewallet,,1) filter column(A)  --->,naypyitaw,,,,,110568.7065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Electronic accessories,15.28,80.22,Cash,,2)filter column(A*B) --->,naypyitaw,member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Home and lifestyle,46.33,340.5255,Credit card,,3)filter column(A*B*C) ----->>,naypyitaw,member,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Health and beauty,58.22,489.048,Ewallet,,4)filter column(A*B*C*D)  ------>>,yangon,member,female,Health and beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Sports and travel,86.31,634.3785,Ewallet,,5)filter column(A*B*C*D*G) ----->>,yangon,member,female,Health and beauty,cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,85.39,627.6165,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Electronic accessories,68.84,433.692,Ewallet,,,supermarket sales report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Home and lifestyle,73.56,772.38,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Health and beauty,36.26,76.146,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Food and beverages,54.84,172.746,Credit card,,,City,Customer type,Gender,Product line,Unit price,Total,payment,,,City,Customer type,Gender,Product line,Unit price,Total,payment,,City,Customer type,Gender,Product line,Unit price,Total,payment,,City,Customer type,Gender,Product line,Unit price,Total,payment,,City,Customer type,Gender,Product line,Unit price,Total,payment
Mandalay,Member,Female,Fashion accessories,14.48,60.816,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,15.28,80.22,Cash,,,Naypyitaw,Member,Male,Electronic accessories,86.04,451.71,Ewallet,,Naypyitaw,Member,Female,Food and beverages,99.42,417.564,Ewallet,,Yangon,Member,Female,Health and beauty,74.69,548.9715,Ewallet,,Yangon,Member,Female,Health and beauty,18.33,19.2465,Cash
Mandalay,Member,Male,Electronic accessories,25.51,107.142,Cash,,,Naypyitaw,Normal,Male,Electronic accessories,85.39,627.6165,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,99.42,417.564,Ewallet,,Naypyitaw,Member,Female,Sports and travel,68.12,71.526,Ewallet,,Yangon,Member,Female,Health and beauty,36.26,76.146,Credit card,,Yangon,Member,Female,Health and beauty,47.67,200.214,Cash
Yangon,Normal,Female,Electronic accessories,46.95,246.4875,Ewallet,,,Naypyitaw,Normal,Female,Home and lifestyle,73.56,772.38,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,68.12,71.526,Ewallet,,Naypyitaw,Member,Female,Food and beverages,98.7,829.08,Cash,,Yangon,Member,Female,Health and beauty,68.93,506.6355,Credit card,,Yangon,Member,Female,Health and beauty,15.55,146.9475,Cash
Yangon,Normal,Male,Food and beverages,43.19,453.495,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,86.04,451.71,Ewallet,,,Naypyitaw,Member,Male,Home and lifestyle,56.11,117.831,Cash,,Naypyitaw,Member,Female,Fashion accessories,82.63,867.615,Ewallet,,Yangon,Member,Female,Health and beauty,18.33,19.2465,Cash,,Yangon,Member,Female,Health and beauty,77.68,326.256,Cash
Yangon,Normal,Female,Health and beauty,71.38,749.49,Cash,,,Naypyitaw,Member,Female,Food and beverages,99.42,417.564,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,98.7,829.08,Cash,,Naypyitaw,Member,Female,Sports and travel,24.74,77.931,Credit card,,Yangon,Member,Female,Health and beauty,47.67,200.214,Cash,,Yangon,Member,Female,Health and beauty,92.09,290.0835,Cash
Mandalay,Member,Female,Sports and travel,93.72,590.436,Cash,,,Naypyitaw,Member,Female,Sports and travel,68.12,71.526,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,15.37,32.277,Cash,,Naypyitaw,Member,Female,Food and beverages,78.31,822.255,Ewallet,,Yangon,Member,Female,Health and beauty,15.55,146.9475,Cash,,,,,,,,
Yangon,Member,Female,Health and beauty,68.93,506.6355,Credit card,,,Naypyitaw,Normal,Female,Health and beauty,54.92,461.328,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,82.63,867.615,Ewallet,,Naypyitaw,Member,Female,Food and beverages,80.36,337.512,Credit card,,Yangon,Member,Female,Health and beauty,77.68,326.256,Cash,,,,,,,,
Yangon,Normal,Male,Sports and travel,72.61,457.443,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,56.11,117.831,Cash,,,Naypyitaw,Member,Male,Food and beverages,91.4,671.79,Cash,,Naypyitaw,Member,Female,Home and lifestyle,47.38,198.996,Cash,,Yangon,Member,Female,Health and beauty,10.69,56.1225,Ewallet,,,,,,,,
Yangon,Normal,Male,Food and beverages,54.67,172.2105,Credit card,,,Naypyitaw,Member,Female,Food and beverages,98.7,829.08,Cash,,,Naypyitaw,Member,Male,Fashion accessories,15.43,16.2015,Credit card,,Naypyitaw,Member,Female,Health and beauty,98.21,309.3615,Credit card,,Yangon,Member,Female,Health and beauty,95.95,503.7375,Ewallet,,,,,,,,
Mandalay,Normal,Female,Home and lifestyle,40.3,84.63,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,15.37,32.277,Cash,,,Naypyitaw,Member,Female,Sports and travel,24.74,77.931,Credit card,,Naypyitaw,Member,Female,Home and lifestyle,80.79,763.4655,Credit card,,Yangon,Member,Female,Health and beauty,27.73,145.5825,Credit card,,,,,,,,
Naypyitaw,Member,Male,Electronic accessories,86.04,451.71,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,82.63,867.615,Ewallet,,,Naypyitaw,Member,Male,Fashion accessories,49.04,463.428,Credit card,,Naypyitaw,Member,Female,Food and beverages,68.54,575.736,Ewallet,,Yangon,Member,Female,Health and beauty,39.62,374.409,Credit card,,,,,,,,
Mandalay,Normal,Male,Health and beauty,87.98,277.137,Ewallet,,,Naypyitaw,Member,Male,Food and beverages,91.4,671.79,Cash,,,Naypyitaw,Member,Female,Food and beverages,78.31,822.255,Ewallet,,Naypyitaw,Member,Female,Sports and travel,89.8,942.9,Credit card,,Yangon,Member,Female,Health and beauty,92.09,290.0835,Cash,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,33.2,69.72,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,15.43,16.2015,Credit card,,,Naypyitaw,Member,Female,Food and beverages,80.36,337.512,Credit card,,Naypyitaw,Member,Female,Health and beauty,68.6,720.3,Cash,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Electronic accessories,34.56,181.44,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,85.98,722.232,Cash,,,Naypyitaw,Member,Male,Sports and travel,48.91,256.7775,Cash,,Naypyitaw,Member,Female,Food and beverages,30.41,31.9305,Credit card,,,,,,,,,,,,,,,,
