Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,Status,exact ,trim data,merge data,length,type,sum,average
Male,No,0,Graduate,No,584900,0,15000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,64,15000000,7500000
Male,Yes,1,Graduate,No,458300,150800,12800000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,12950800,6475400
Male,Yes,0,Graduate,Yes,300000,0,6600000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,6600000,3300000
Male,Yes,0,Not Graduate,No,258300,235800,12000000,360,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,12235800,6117900
Male,No,0,Graduate,No,600000,0,14100000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,14100000,7050000
Male,Yes,2,Graduate,Yes,541700,419600,26700000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,27119600,13559800
Male,Yes,0,Not Graduate,No,233300,151600,9500000,360,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9651600,4825800
Male,Yes,3+,Graduate,No,303600,250400,15800000,360,0,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,16050400,8025200
Male,Yes,2,Graduate,No,400600,152600,16800000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,16952600,8476300
Male,Yes,1,Graduate,No,1284100,1096800,34900000,360,1,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,35996800,17998400
Male,Yes,2,Graduate,No,320000,70000,7000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,7070000,3535000
Male,Yes,2,Graduate,,250000,184000,10900000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,11084000,5542000
Male,Yes,2,Graduate,No,307300,810600,20000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,20810600,10405300
Male,No,0,Graduate,No,185300,284000,11400000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,11684000,5842000
Male,Yes,2,Graduate,No,129900,108600,1700000,120,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,1808600,904300
Male,No,0,Graduate,No,495000,0,12500000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,12500000,6250000
Male,No,1,Not Graduate,No,359600,0,10000000,240,,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,10000000,5000000
Female,No,0,Graduate,No,351000,0,7600000,360,0,Urban,N,FALSE,Graduate,Female  Graduate,16,,7600000,3800000
Male,Yes,0,Not Graduate,No,488700,0,13300000,360,1,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,13300000,6650000
Male,Yes,0,Graduate,,260000,350000,11500000,,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,11850000,5925000
Male,Yes,0,Not Graduate,No,766000,0,10400000,360,0,Urban,N,FALSE,Not Graduate,Male  Not Graduate,18,,10400000,5200000
Male,Yes,1,Graduate,No,595500,562500,31500000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,32062500,16031250
Male,Yes,0,Not Graduate,No,260000,191100,11600000,360,0,Semiurban,N,FALSE,Not Graduate,Male  Not Graduate,18,,11791100,5895550
,Yes,2,Not Graduate,No,336500,191700,11200000,360,0,Rural,N,FALSE,Not Graduate,  Not Graduate,14,,11391700,5695850
Male,Yes,1,Graduate,,371700,292500,15100000,360,,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,15392500,7696250
Male,Yes,0,Graduate,Yes,956000,0,19100000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,19100000,9550000
Male,Yes,0,Graduate,No,279900,225300,12200000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,12425300,6212650
Male,Yes,2,Not Graduate,No,422600,104000,11000000,360,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,11104000,5552000
Male,No,0,Not Graduate,No,144200,0,3500000,360,1,Urban,N,FALSE,Not Graduate,Male  Not Graduate,18,,3500000,1750000
Female,No,2,Graduate,,375000,208300,12000000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,12208300,6104150
Male,Yes,1,Graduate,,416600,336900,20100000,360,,Urban,N,FALSE,Graduate,Male  Graduate,14,,20436900,10218450
Male,No,0,Graduate,No,316700,0,7400000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,7400000,3700000
Male,No,1,Graduate,Yes,469200,0,10600000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,10600000,5300000
Male,Yes,0,Graduate,No,350000,166700,11400000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,11566700,5783350
Male,No,3+,Graduate,No,1250000,300000,32000000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,32300000,16150000
Male,Yes,0,Graduate,No,227500,206700,0,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,206700,103350
Male,Yes,0,Graduate,No,182800,133000,10000000,,0,Urban,N,FALSE,Graduate,Male  Graduate,14,,10133000,5066500
Female,Yes,0,Graduate,No,366700,145900,14400000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,14545900,7272950
Male,No,0,Graduate,No,416600,721000,18400000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,19121000,9560500
Male,No,0,Not Graduate,No,374800,166800,11000000,360,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,11166800,5583400
Male,No,0,Graduate,No,360000,0,8000000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,8000000,4000000
