name,club_abb,club,2021 guaranteed comp.,2022 guar. comp.,position,birth_city,birth_country,"height, cm","weight, kg",foot,games_played,game_started,sum,average,trim data,merge data,length,exact
Valentin Castellanos,NYC,New York City,776000,1076000,Forward,Mendoza,Argentina,178,70,Right,32,32,1852000,32,Valentin Castellanos,"Argentina , Mendoza",20,FALSE
Ola Kamara,DC,DC United,420000,1520000,Forward,,,185,82,,28,22,1940000,25,Ola Kamara," , ",10,TRUE
Javier Hernandez,LA,LA Galaxy,6000000,7443750,Forward,Guadalajara,Mexico,175,73,Right,21,20,13443750,20.5,Javier Hernandez,"Mexico , Guadalajara",16,FALSE
Raul Ruidiaz,SEA,Seattle Sounders,2100000,3201120,Forward,Lima,Peru,169,65,Right,26,24,5301120,25,Raul Ruidiaz,"Peru , Lima",12,FALSE
Damir Kreilach,RSL,Real Salt Lake,1350000,1762572,Midfielder,Vukovar,Croatia,186,79,Right,33,32,3112572,32.5,Damir Kreilach,"Croatia , Vukovar",14,FALSE
Hany Mukhtar,NSH,Nashville,1505000,1926250,Midfielder,Berlin,Germany,173,72,Both,31,28,3431250,29.5,Hany Mukhtar,"Germany , Berlin",12,FALSE
Daniel Salloi,SKC,Sporting Kansas City,456667,506667,Forward,Siófok,Hungary,185,70,Both,30,26,963334,28,Daniel Salloi,"Hungary , Siófok",13,FALSE
Gustavo Bou,NE,New England Revolutio,2120000,2675000,Forward,Entre Ríos,Argentina,176,72,Right,30,25,4795000,27.5,Gustavo Bou,"Argentina , Entre Ríos",11,FALSE
Johnny Russell,SKC,Sporting Kansas City,1600000,2000000,Forward,Glasgow,Scotland,178,79,Both,30,26,3600000,28,Johnny Russell,"Scotland , Glasgow",14,FALSE
Cristian Arango,LAFC,LAFC,659000,683000,Forward,Medellín,Colombia,178,70,Right,17,15,1342000,16,Cristian Arango,"Colombia , Medellín",15,FALSE
Gonzalo Higuain,MIA,Inter Miami,5793750,5793750,Forward,,,186,89,,30,28,11587500,29,Gonzalo Higuain," , ",15,TRUE
Cj Sapong,NSH,Nashville,427778,550000,Forward,Manassas,USA,185,84,Right,33,27,977778,30,Cj Sapong,"USA , Manassas",9,FALSE
Josef Martinez,ATL,Atlanta United,3891667,4141667,Forward,Valencia,Venezuela,172,74,Right,24,18,8033334,21,Josef Martinez,"Venezuela , Valencia",14,FALSE
Kacper Przybylko,PHI,Philadelphia Union,916250,1212504,Forward,Bielefeld,Germany,192,88,Both,34,29,2128754,31.5,Kacper Przybylko,"Germany , Bielefeld",16,FALSE
Brian White,VAN,Vancouver Whitecaps,216000,456000,Forward,Pittsburgh,USA,180,84,,27,23,672000,25,Brian White,"USA , Pittsburgh",11,FALSE
Lucas Zelarayan,CLB,Columbus Crew,1985000,3700000,Midfielder,Córdoba,Argentina,172,70,Right,32,28,5685000,30,Lucas Zelarayan,"Argentina , Córdoba",15,FALSE
Felipe Mora,POR,Portland Timbers,905000,955000,Forward,Santiago,Chile,175,68,Right,29,22,1860000,25.5,Felipe Mora,"Chile , Santiago",11,FALSE
Fafa Picault,HOU,Houston Dynamo,500000,600000,Midfielder,New York,USA,173,63,Right,31,29,1100000,30,Fafa Picault,"USA , New York",12,FALSE
Albert Rusnak,RSL,Real Salt Lake,2351667,1871667,Midfielder,Vyškov,Czech Republic,175,61,Both,34,34,4223334,34,Albert Rusnak,"Czech Republic , Vyškov",13,FALSE
Dairon Asprilla,POR,Portland Timbers,277500,352500,Forward,Istmina,Colombia,180,75,Right,34,25,630000,29.5,Dairon Asprilla,"Colombia , Istmina",15,FALSE
Cristian Dajome,VAN,Vancouver Whitecaps,447917,815625,Forward,Bogotá,Colombia,172,70,Right,33,31,1263542,32,Cristian Dajome,"Colombia , Bogotá",15,FALSE
Robin Lod,MIN,Minnesota United,952496,952496,Midfielder,Helsinki,Finland,181,82,Left,23,21,1904992,22,Robin Lod,"Finland , Helsinki",9,FALSE
Marcelino Moreno,ATL,Atlanta United,400000,568333,Midfielder,San Martin,Argentina,168,65,,32,30,968333,31,Marcelino Moreno,"Argentina , San Martin",16,FALSE
Jader Obrian,DAL,Dallas,444600,467100,Forward,María la Baja,Colombia,165,62,Right,34,25,911700,29.5,Jader Obrian,"Colombia , María la Baja",12,FALSE
Gyasi Zardes,CLB,Columbus Crew,1400000,1550000,Forward,Hawthorne,USA,188,80,Both,21,18,2950000,19.5,Gyasi Zardes,"USA , Hawthorne",12,FALSE
Michael Barrios,COL,Colorado Rapids,650000,680000,Forward,Barranquilla,Colombia,163,61,Right,33,25,1330000,29,Michael Barrios,"Colombia , Barranquilla",15,FALSE
Miguel Berry,CLB,Columbus Crew,85444,120000,Forward,Barcelona,Spain,191,82,,18,9,205444,13.5,Miguel Berry,"Spain , Barcelona",12,FALSE
Jesus Ferreira,DAL,Dallas,550000,1499000,Forward,Santa Marta,Colombia,173,68,Right,27,26,2049000,26.5,Jesus Ferreira,"Colombia , Santa Marta",14,FALSE
Anderson Julio,RSL,Real Salt Lake,485875,820000,Forward,Pimampiro,Ecuador,180,70,Right,30,10,1305875,20,Anderson Julio,"Ecuador , Pimampiro",14,FALSE
Patryk Klimala,RBNY,New York Red Bulls,1135000,1135000,Forward,,,183,76,,29,26,2270000,27.5,Patryk Klimala," , ",14,TRUE
Randall Leal,NSH,Nashville,477750,965000,Midfielder,San José,Costa Rica,169,74,Right,31,25,1442750,28,Randall Leal,"Costa Rica , San José",12,FALSE
Alan Pulido,SKC,Sporting Kansas City,2200000,2200000,Forward,Ciudad Victoria,Mexico,178,82,Right,21,15,4400000,18,Alan Pulido,"Mexico , Ciudad Victoria",11,FALSE
Romell Quioto,MTL,Montreal,885000,885000,Forward,Balfate,Honduras,178,69,Right,19,14,1770000,16.5,Romell Quioto,"Honduras , Balfate",13,FALSE
Rubio Rubin,RSL,Real Salt Lake,152067,582937,Forward,Beaverton,USA,178,82,,34,25,735004,29.5,Rubio Rubin,"USA , Beaverton",11,FALSE
Brenner Souza Da Silva,CIN,Cincinnati,1760418,2218600,Forward,,Brazil,175,70,,33,33,3979018,33,Brenner Souza Da Silva,"Brazil , ",22,FALSE
Luciano Acosta,CIN,Cincinnati,2222854,2222854,Midfielder,Rosario,Argentina,161,61,Right,31,30,4445708,30.5,Luciano Acosta,"Argentina , Rosario",14,FALSE
Ezequiel Barco,ATL,Atlanta United,2358333,2200000,Midfielder,Villa Gobernador Gálvez,Argentina,162,67,,25,23,4558333,24,Ezequiel Barco,"Argentina , Villa Gobernador Gálvez",14,FALSE
Sebastian Blanco,POR,Portland Timbers,2313333,1708000,Midfielder,Buenos Aires,Argentina,170,68,Both,24,12,4021333,18,Sebastian Blanco,"Argentina , Buenos Aires",16,FALSE
Diego Fagundez,ATX,Austin,400000,450000,Midfielder,Montevideo,Uruguay,173,64,,33,30,850000,31.5,Diego Fagundez,"Uruguay , Montevideo",14,FALSE
Franco Jara,DAL,Dallas,2977000,3227000,Forward,Villa María,Argentina,179,78,Right,29,12,6204000,20.5,Franco Jara,"Argentina , Villa María",11,FALSE
Jonathan Lewis,COL,Colorado Rapids,435000,435000,Midfielder,Plantation,USA,170,68,,27,12,870000,19.5,Jonathan Lewis,"USA , Plantation",14,FALSE
Fredy Montero,SEA,Seattle Sounders,81375,110000,Forward,Campo de la Cruz,Colombia,176,73,Right,29,15,191375,22,Fredy Montero,"Colombia , Campo de la Cruz",13,FALSE
Ismael Tajouri-Shradi,NYC,New York City,618985,647860,Forward,Bern,Switzerland,168,64,Left,23,14,1266845,18.5,Ismael Tajouri-Shradi,"Switzerland , Bern",21,FALSE
Mason Toye,MTL,Montreal,233000,558000,Forward,,,190,82,,14,10,791000,12,Mason Toye," , ",10,TRUE
Maximiliano Urruti,HOU,Houston Dynamo,1270146,661250,Forward,Rosario,Argentina,183,75,Right,30,25,1931396,27.5,Maximiliano Urruti,"Argentina , Rosario",18,FALSE
Paul Arriola,DC,DC United,1050000,1130000,Midfielder,Chula Vista,USA,167,66,,20,19,2180000,19.5,Paul Arriola,"USA , Chula Vista",12,FALSE
"Anthony Marcucci, Jr.",RBNY,New York Red Bulls,63547,66724,Midfielder,,,176,68,Right,27,24,130271,25.5,"Anthony Marcucci, Jr."," , ",21,TRUE
Yimmi Chara,POR,Portland Timbers,1503000,1803000,Midfielder,Cali,Colombia,168,77,Right,30,29,3306000,29.5,Yimmi Chara,"Colombia , Cali",11,FALSE
Cristian Roldan,SEA,Seattle Sounders,881542,981542,Midfielder,Artesia,USA,173,75,Right,28,27,1863084,27.5,Cristian Roldan,"USA , Artesia",15,FALSE
Sergio Santos,PHI,Philadelphia Union,728500,918500,Forward,Belo Horizonte,Brazil,183,84,Right,26,17,1647000,21.5,Sergio Santos,"Brazil , Belo Horizonte",13,FALSE
Dominique Badji,COL,Colorado Rapids,306250,555000,Forward,Dakar,Senegal,183,77,,12,3,861250,7.5,Dominique Badji,"Senegal , Dakar",15,FALSE
Cole Bassett,COL,Colorado Rapids,119000,450000,Midfielder,,,180,68,,32,23,569000,27.5,Cole Bassett," , ",12,TRUE
Kevin Cabral,LA,LA Galaxy,1440000,1650000,Forward,,,185,69,,28,24,3090000,26,Kevin Cabral," , ",12,TRUE
Deiber Caicedo,VAN,Vancouver Whitecaps,331125,331125,Forward,Barbacoas,Colombia,168,66,,33,24,662250,28.5,Deiber Caicedo,"Colombia , Barbacoas",14,FALSE
Jose Cifuentes,LAFC,LAFC,411750,411750,Midfielder,Esmeraldas,Ecuador,178,70,Right,32,26,823500,29,Jose Cifuentes,"Ecuador , Esmeraldas",14,FALSE
Cade Cowell,SJ,San Jose Earthquakes,130000,635364,Forward,Ceres,USA,175,79,Right,33,14,765364,23.5,Cade Cowell,"USA , Ceres",11,FALSE
Sebastian Driussi,ATX,Austin,2688420,2317000,Forward,Buenos Aires,Argentina,179,80,Both,17,16,5005420,16.5,Sebastian Driussi,"Argentina , Buenos Aires",17,FALSE
Franco Fragapane,MIN,Minnesota United,142500,257496,Forward,Mendoza,Argentina,169,66,Right,19,19,399996,19,Franco Fragapane,"Argentina , Mendoza",16,FALSE
Gadi Kinda,SKC,Sporting Kansas City,918000,918000,Midfielder,Ashdod,Israel,173,65,Right,26,24,1836000,25,Gadi Kinda,"Israel , Ashdod",10,FALSE
Sacha Kljestan,LA,LA Galaxy,247350,84000,Midfielder,"Huntington Beach, CA",USA,185,68,Both,31,13,331350,22,Sacha Kljestan,"USA , Huntington Beach, CA",14,FALSE
Emanuel Reynoso,MIN,Minnesota United,966910,1066910,Midfielder,Córdoba,Argentina,177,65,Left,29,28,2033820,28.5,Emanuel Reynoso,"Argentina , Córdoba",15,FALSE
